Common Name,,Scientific Name,Family ,Family ,Species 
Virginia threeseed mercury,,Acalypha virginica L., Pinaceae , Abies ,Abies balsamea
red maple,,Acer rubrum L.,Sapindaceae, Acer, Acer rubrum 
starved panicgrass,,Dichanthelium depauperatum (Muhl.)Gould,Poaceae,Panicum,Panicum depauperatum
prairie fleabane,,Erigeron strigosus Muhl.exWilld.,Asteraceae ,Erigeron, Erigeron strigosus
Virginia creeper,,Parthenocissus quinquefolia (L.)Planch.,Vitaceae ,Parthenocissus, Parthenocissus quinquefolia
black cherry,,Prunus serotina Ehrh.,Rosaceae,Prunus,Prunus serotina
roundleaf greenbrier,,Smilax rotundifolia L.,Smilacaceae,Smilax,Smilax rotundifolia
blackhaw,,Viburnum prunifolium L.,Adoxaceae,Viburnum,Viburnum prunifolium
marsh blue violet,,Viola cucullata Ait., Violaceae,Viola,Viola cucullata
American chestnut,,Castanea dentata (Marsh.)Borkh.,Fagaceae,Castanea,Castanea dentata
white wood aster,,Eurybia divaricata (L.)Nesom,Asteraceae,Eurybia,Eurybia divaricata
northern red oak,,Quercus rubra L.,Fagaceae,Quercus,Quercus rubra
flameleaf sumac,,Rhus copallinum L., Anacardiaceae,Rhus, Rhus copallinum
Allegheny blackberry,,Rubus allegheniensis Porter,Rosaceae,Rubus,Rubus allegheniensis
mapleleaf viburnum,,Viburnum acerifolium L.,Adoxaceae,Viburnum,Viburnum acerifolium
nimblewill,,Muhlenbergia schreberi J.F.Gmel.,Poaceae,Muhlenbergia,Muhlenbergia schreberi
smooth rockcress,,Arabis laevigata (Muhl.exWilld.)Poir.,Brassicaceae,Boechera,Boechera laevigata
wild sarsaparilla,,Aralia nudicaulis L.,Araliaceae,Aralia,Aralia nudicaulis
Jack in the pulpit,,Arisaema triphyllum (L.)Schott,Araceae,Arisaema,Arisaema triphyllum
butterfly milkweed,,Asclepias tuberosa L.,Apocynaceae,Asclepias,Asclepias tuberosa
smooth yellow false foxglove,,Aureolaria flava (L.)Farw.,Orobanchaceae,Aureolaria,Aureolaria flava
parasol sedge,,Carex umbellata SchkuhrexWilld.,Cyperaceae,Carex, Carex umbellata
scaldweed,,Cuscuta gronovii Willd.exJ.A.Schultes,Convolvulaceae,Cuscuta,Cuscuta gronovii
nakedflower ticktrefoil,,Desmodium nudiflorum (L.)DC.,Fabaceae,Desmodium,Desmodium nudiflorum
American burnweed,,Erechtites hieraciifolius (L.) Raf. ex DC.,Asteraceae,Erechtites,Erechtites hieraciifolius
Virginia strawberry,,Fragaria virginiana Duchesne,Rosaceae,Fragaria, Fragaria virginiana 
licorice bedstraw,,Galium circaezans Michx.,Rubiaceae,Galium,Galium circaezans
fragrant bedstraw,,Galium triflorum Michx.,Rubiaceae,Galium,Galium triflorum
black huckleberry,,Gaylussacia baccata (Wangenh.)K.Koch,Ericaceae,Gaylussacia,Gaylussacia baccata
spotted geranium,,Geranium maculatum L.,Geraniaceae,Geranium,Geranium maculatum
cream avens,,Geum virginianum L.,Rosaceae,Geum,Geum virginianum
American witchhazel,,Hamamelis virginiana L.,Hamamelidaceae,Hamamelis,Hamamelis virginiana
eastern redcedar,,Juniperus virginiana L.,Cupressaceae,Juniperus,Juniperus virginiana
mountain laurel,,Kalmia latifolia L.,Ericaceae,Kalmia,Kalmia latifolia
trailing lespedeza,,Lespedeza procumbens Michx.,Fabaceae,Lespedeza,Lespedeza procumbens
woodland flax,,Linum virginianum L.,Linaceae,Linum,Linum virginianum
trumpet honeysuckle,,Lonicera sempervirens L.,Caprifoliaceae,Lonicera,Lonicera sempervirens
feathery false lily of the vally,,Maianthemum racemosum (L.)Link,Asparagaceae,Maianthemum, Maianthemum racemosum 
partridgeberry,,Mitchella repens L.,Rubiaceae,Mitchella,Mitchella repens
common evening-primrose,,Oenothera biennis L.,Onagraceae,Oenothera,Oenothera biennis
switchgrass,,Panicum virgatum L.,Poaceae,Panicum,Panicum virgatum
broad beechfern,,Phegopteris hexagonoptera (Michx.)F̩e,Thelypteridaceae,Phegopteris,Phegopteris hexagonoptera
American lopseed,,Phryma leptostachya L.,Phrymaceae,Phryma,Phryma leptostachya
clammy groundcherry,,Physalis heterophylla Nees,Solanaceae,Physalis, Physalis heterophylla 
pitch pine,,Pinus rigida P.Mill.,Pinaceae,Pinus,Pinus rigida
climbing false buckwheat,,Polygonum scandens L.,Polygonaceae,Fallopia,Fallopia scandens
Christmas fern,,Polystichum acrostichoides (Michx.)Schott,Dryopteridaceae,Polystichum,Polystichum acrostichoides
Norwegian cinquefoil,,Potentilla norvegica L.,Rosaceae,Potentilla,Potentilla norvegica
black oak,,Quercus velutina Lam.,Fagaceae,Quercus,Quercus velutina
Carolina rose,,Rosa carolina L.,Rosaceae,Rosa, Rosa carolina 